Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	101296000	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1591789250	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	2247242458	1571	822	0.4627625716104392
BANDM	ORTools	6161250	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19868167	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	46620959	472	306	0.3495762711864407
CZPROB	ORTools	25124458	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	112052625	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	407384750	3523	930	0.9946068691456146
GANGES	ORTools	13643291	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	110148917	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	912414833	1681	1310	0.06484235574063058
PDS-02	ORTools	41418375	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	484236666	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6576465958	7535	2954	0.6452554744525547
PEROLD	ORTools	52095167	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	598694209	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	3671929125	1376	626	0.005813953488372093
SCSD8	ORTools	25258459	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	243789084	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	151289208	2750	398	1.0
