Model	Solver	Time	nbVars	nbExpr	density
25FV47	ORTools	100985417	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-D	1578687292	1571	822	0.4627625716104392
25FV47	ojAlgo-LP-dual-S	2880577250	1571	822	0.4627625716104392
BANDM	ORTools	6242875	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-D	19422958	472	306	0.3495762711864407
BANDM	ojAlgo-LP-dual-S	48617208	472	306	0.3495762711864407
CZPROB	ORTools	25283791	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-D	107197166	3523	930	0.9946068691456146
CZPROB	ojAlgo-LP-dual-S	429022500	3523	930	0.9946068691456146
GANGES	ORTools	13840208	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-D	103986208	1681	1310	0.06484235574063058
GANGES	ojAlgo-LP-dual-S	771725334	1681	1310	0.06484235574063058
PDS-02	ORTools	42459500	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-D	414085791	7535	2954	0.6452554744525547
PDS-02	ojAlgo-LP-dual-S	6902126958	7535	2954	0.6452554744525547
PEROLD	ORTools	51974417	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-D	593234583	1376	626	0.005813953488372093
PEROLD	ojAlgo-LP-dual-S	4441201459	1376	626	0.005813953488372093
SCSD8	ORTools	25286042	2750	398	1.0
SCSD8	ojAlgo-LP-dual-D	241351167	2750	398	1.0
SCSD8	ojAlgo-LP-dual-S	148274667	2750	398	1.0
